interview__id,interview__key,region,departement,commune,milieu,dr,grappe,num_menage,taille_menage,latitude,longitude,cm_genre,cm_age,cm_sit_matrim,cm_niv_etudes,cm_actif_occupe,cm_statut_emploi,cm_secteur_isic,cm_tranche_revenu,cm_revenu_mensuel,cm_a_compte_banque,cm_a_compte_imf,cm_a_compte_mobile,cm_a_assurance,cm_recoit_pension,statut_logement,source_eau,nb_personnes_revenu,revenu_mensuel_menage_est,tranche_revenu_menage,acces_electricite,acces_eau_amelioree,cuisson_propre,score_eclairage,possede_voiture,possede_moto,possede_velo,possede_tv,possede_radio,possede_ordi,possede_telephone,score_biens_transport,score_biens_telecom,score_biens,src_rev_non_salarie,src_rev_salarie,src_rev_pension,src_rev_transferts,nb_sources_revenus,nb_membres_actifs,nb_membres_banque,nb_membres_imf,nb_membres_mobile,nb_membres_epargne,nb_membres_credit,nb_membres_assurance,nb_membres_retraite,score_incl_fin_moyen,taux_incl_banque,taux_incl_mobile
c51c9eef706242e5ad9f6d8c006c56a1,16-33-95-07,Fatick,91,9120302,Rural,091203020032,4,1,7,14.3625033333333,-16.4113583333333,Masculin,31,Marié(e) monogame,Alphabétisation / Non formel,1,Travailleur compte propre,"A - Agriculture, sylviculture et pêche",100 000 à moins de 200 000,150000,0,0,1,0,,2,7,1,90000,SMIG à moins de 100 000,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,1,0,0,1,1,0,0,0,0.285714285714286,0,1
f01c7684dc314bc9b5f1883d53219520,16-04-03-88,Kaolack,61,6110100,Urbain,061101000142,,,5,14.1502058,-16.0819087,Masculin,42,Célibataire,Secondaire 2nd cycle,1,Ouvrier/employé qualifié,F - Construction,SMIG à moins de 100 000,90000,0,0,1,0,,5,6,2,150000,100 000 à moins de 200 000,1,0,1,1,0,1,0,1,1,0,1,1,3,4,1,0,0,0,1,1,0,0,2,2,1,0,0,1,0,2
fc5a812c22484a5e8a0bfe951f19259e,07-28-16-80,Fatick,91,9120202,Rural,091202020011,3,1,4,14.289475,-16.6619,Féminin,66,Inconnu,Préscolaire,0,,,,,0,0,0,0,,4,2,1,250000,200 000 à moins de 300 000,1,1,0,1,0,0,0,0,0,0,1,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42fd6b9c159f44a9a99f5e2ba695e0de,45-62-48-97,Matam,112,11220201,Rural,112202010021,1,34,7,15.3761783333333,-13.0808783333333,Masculin,71,Célibataire,Préscolaire,0,,,,,0,0,1,0,,2,8,0,40000,Moins du SMIG,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0.142857142857143,0,1
051b3e9d1f4743edad63f87837469e7e,89-21-68-61,Dakar,11,1130122,Urbain,011301220030,30,7,2,14.7139743,-17.4468054,Masculin,31,Célibataire,Supérieur,1,Ouvrier/employé qualifié,S - Autres activités de services,100 000 à moins de 200 000,150000,0,0,1,0,,5,2,1,150000,100 000 à moins de 200 000,1,1,1,1,0,0,0,1,1,0,1,1,3,4,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1
6f3653d12352431e926e1353342bb62a,84-81-51-25,Saint-Louis,41,4110200,Urbain,041102000044,44,40,5,16.41221,-15.5380616666667,Masculin,53,Célibataire,Secondaire 1er cycle,1,Cadre moyen,B - Industries extractives,100 000 à moins de 200 000,150000,1,0,1,0,1,1,1,1,150000,100 000 à moins de 200 000,1,1,0,1,0,0,0,0,1,0,1,1,3,4,0,1,0,0,1,1,1,0,1,1,1,0,1,0.8,1,1
589d7cc5b6f94418a5ae5ad0de5f5490,00-31-00-11,Matam,111,11110200,Urbain,111102000019,1,1,11,15.6078883333333,-13.3210416666667,Masculin,68,Marié(e) monogame,Secondaire 1er cycle,0,,,,,0,0,1,0,,2,1,1,150000,100 000 à moins de 200 000,1,1,1,1,1,0,0,1,1,0,0,1,2,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0909090909090909,0,1
810aac4301e34e40bfe14f59ab1e7987,00-54-50-05,Kaolack,61,6110100,Urbain,061101000099,,,1,14.1518823,-16.0805008,Masculin,77,Célibataire,Secondaire 1er cycle,1,Ouvrier/employé simple,H - Transports et entreposage,Moins du SMIG,40000,0,0,1,0,,5,1,1,40000,Moins du SMIG,1,1,1,1,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,1,0,0,1,1,0,0,0,2,0,1
f9f0665062e24eee94b70aa5b571e4ed,43-96-93-73,Saint-Louis,41,4110200,Urbain,041102000044,44,45,3,16.41221,-15.5380616666667,Masculin,47,Célibataire,Secondaire 1er cycle,1,Ouvrier/employé simple,T - Ménages employeurs de personnel domestique,Moins du SMIG,40000,0,0,1,0,,2,2,2,40000,Moins du SMIG,1,1,0,1,0,1,0,0,0,0,1,1,1,2,0,1,0,0,1,2,0,0,1,1,0,0,0,0.666666666666667,0,0.5
37fbd87db6ef41178c3c962754e74341,78-36-78-90,Dakar,11,1130122,Urbain,011301220030,30,3,4,14.7140417,-17.4468477,Masculin,41,Célibataire,Inconnu,,,,,,,,,0,,5,1,1,150000,100 000 à moins de 200 000,1,1,1,1,0,1,0,1,1,0,1,1,3,4,0,1,0,0,1,0,0,0,1,1,0,0,0,0.5,0,1
